Year,dollars/MT
2016.00016022,1122.89156627
2016.00708152,910.843373494
2016.02226993,756.626506024
2016.0455332,621.686746988
2016.07043066,814.457831325
2016.09561651,1065.06024096
2016.12647398,853.012048193
2016.15194822,1161.44578313
2016.1607921,1334.93975904
2016.1933799,1469.87951807
2016.21539349,1084.3373494
2016.2539413,814.457831325
2016.26326583,1084.3373494
2016.27845424,930.120481928
2016.30412074,1277.10843373
2016.32142399,1546.98795181
2016.32257754,1778.31325301
2016.34728275,1932.53012048
2016.36900795,1489.15662651
2016.3833312,1161.44578313
2016.38371571,1238.55421687
2016.40726737,1161.44578313
2016.40765188,1238.55421687
2016.43120354,1161.44578313
2016.43197257,1315.6626506
2016.47369264,1681.92771084
2016.49685978,1527.71084337
2016.51464368,1893.97590361
2016.53800308,1778.31325301
2016.54703922,1990.36144578
2016.58462574,1527.71084337
2016.60183286,1778.31325301
2016.64307229,2048.19277108
2016.67364137,1778.31325301
2016.68806075,1469.87951807
2016.71122789,1315.6626506
2016.73574084,1431.3253012
2016.73708664,1701.20481928
2016.753717,1836.14457831
2016.79466803,2048.19277108
2016.81658549,1643.37349398
2016.84350167,2240.96385542
2016.8837798,2318.07228916
2016.88493335,2549.39759036
2016.89839144,2048.19277108
2016.9249231,2568.6746988
2016.94684055,2163.85542169
2016.96404768,2414.45783133
2017.02585875,2009.63855422
2017.05123686,2298.79518072
2017.05210203,2472.28915663
2017.0612343,2703.61445783
2017.07911433,3089.15662651
2017.09343758,2761.44578313
2017.11823891,2934.93975904
2017.14448218,3397.59036145
2017.15909382,3127.71084337
2017.18552935,3628.91566265
2017.22273135,3089.15662651
2017.23224814,3397.59036145
2017.28934888,3648.19277108
2017.31068957,3127.71084337
2017.31203538,3397.59036145
2017.33741348,3686.74698795
2017.35990772,3397.59036145
2017.37471161,3166.26506024
2017.41729685,3706.02409639
2017.4401756,3493.97590361
2017.4632466,3320.48192771
2017.50217893,3127.71084337
2017.52784542,3474.69879518
2017.5284222,3590.36144578
2017.5508203,3281.92771084
2017.57571776,3474.69879518
2017.59119457,3378.31325301
2017.63522174,4207.22891566
2017.68492053,4573.4939759
2017.70164701,4727.71084337
2017.70837606,4477.10843373
2017.74894258,4612.04819277
2017.75057678,4939.75903614
2017.76566906,4766.26506024
2017.77259036,4554.21686747
2017.80585106,4824.09638554
2017.82997949,4862.65060241
2017.83747757,4766.26506024
2017.8546847,5016.86746988
2017.89207895,4515.6626506
