Entity,Code,Year,Primary Energy Consumption (terawatt-hours)
Africa,,1965,710.9496218370446
Africa,,1966,742.3557894211085
Africa,,1967,750.4345544205105
Africa,,1968,791.0998844157018
Africa,,1969,807.9623052554762
Africa,,1970,875.8575993480164
Africa,,1971,951.3538360556091
Africa,,1972,1011.5591171299385
Africa,,1973,1087.611638468385
Africa,,1974,1142.4470925130538
Africa,,1975,1209.361200720239
Africa,,1976,1316.082352326862
Africa,,1977,1384.1726687059763
Africa,,1978,1437.690751907023
Africa,,1979,1567.8167111229407
Africa,,1980,1688.4608236158724
Africa,,1981,1882.3847187089277
Africa,,1982,2010.4197830152507
Africa,,1983,2065.874518832706
Africa,,1984,2136.94122794506
Africa,,1985,2217.8016016972447
Africa,,1986,2269.3208429987676
Africa,,1987,2340.164150562731
Africa,,1988,2508.9537976665138
Africa,,1989,2516.310250001407
Africa,,1990,2597.4525020354927
Africa,,1991,2594.732004911744
Africa,,1992,2638.661744244721
Africa,,1993,2649.1260676244697
Africa,,1994,2727.1853143504954
Africa,,1995,2837.7403384537865
Africa,,1996,2914.1053605107545
Africa,,1997,2969.5663494548953
Africa,,1998,3015.0363850147273
Africa,,1999,3106.265531917238
Africa,,2000,3179.78678924349
Africa,,2001,3306.5696263568316
Africa,,2002,3344.0058205715295
Africa,,2003,3504.9254473059495
Africa,,2004,3757.6515298153213
Africa,,2005,3786.0332515163486
Africa,,2006,3855.000009214428
Africa,,2007,3994.037595619741
Africa,,2008,4249.897933458425
Africa,,2009,4326.0884858189065
Africa,,2010,4464.043502961286
Africa,,2011,4481.371714602618
Africa,,2012,4643.128590988004
Africa,,2013,4765.0683798958
Africa,,2014,4914.695261020759
Africa,,2015,5001.8845992674505
Africa,,2016,5110.664038390359
Africa,,2017,5217.289746039103
Africa,,2018,5367.396523588756
Algeria,DZA,1965,24.684921944444447
Algeria,DZA,1966,29.736455277777825
Algeria,DZA,1967,28.10500111111115
Algeria,DZA,1968,30.145581388888942
Algeria,DZA,1969,33.425377499999996
Algeria,DZA,1970,36.57900583333339
Algeria,DZA,1971,39.617660277777766
Algeria,DZA,1972,44.49832916666663
Algeria,DZA,1973,53.01575250000003
Algeria,DZA,1974,58.753500833333355
Algeria,DZA,1975,70.26040750000004
Algeria,DZA,1976,81.96365250000001
Algeria,DZA,1977,90.12660361111114
Algeria,DZA,1978,113.29676472222219
Algeria,DZA,1979,148.44730722222283
Algeria,DZA,1980,177.05753999999953
Algeria,DZA,1981,215.05758277777784
Algeria,DZA,1982,247.95175777777746
Algeria,DZA,1983,270.8881611111113
Algeria,DZA,1984,260.05752638888856
Algeria,DZA,1985,262.08636305555564
Algeria,DZA,1986,277.40919890350864
Algeria,DZA,1987,285.00572178362546
Algeria,DZA,1988,305.36227755848006
Algeria,DZA,1989,296.99472795321674
Algeria,DZA,1990,314.92979899122815
Algeria,DZA,1991,311.99973874268983
Algeria,DZA,1992,320.1621297660822
Algeria,DZA,1993,297.88011403508824
Algeria,DZA,1994,301.8670879385967
Algeria,DZA,1995,313.08202751461937
Algeria,DZA,1996,309.8808028801176
Algeria,DZA,1997,297.8353478654977
Algeria,DZA,1998,308.2790275292403
Algeria,DZA,1999,311.36811635964966
Algeria,DZA,2000,299.9280724853802
Algeria,DZA,2001,310.7918378362579
Algeria,DZA,2002,321.9341547222222
Algeria,DZA,2003,336.8509539766079
Algeria,DZA,2004,349.71503409356706
Algeria,DZA,2005,366.14279568947325
Algeria,DZA,2006,379.17351232894794
Algeria,DZA,2007,399.5954578470893
Algeria,DZA,2008,423.5064182373826
Algeria,DZA,2009,448.8042344444447
Algeria,DZA,2010,437.40561552631607
Algeria,DZA,2011,464.43794581871373
Algeria,DZA,2012,507.6259857085637
Algeria,DZA,2013,536.9648394736848
Algeria,DZA,2014,585.59359383041
Algeria,DZA,2015,617.5044838040936
Algeria,DZA,2016,616.8577568181724
Algeria,DZA,2017,617.8796480716378
Algeria,DZA,2018,659.5842167982457
Argentina,ARG,1965,313.01496299896394
Argentina,ARG,1966,323.4269603163651
Argentina,ARG,1967,333.0293933353713
Argentina,ARG,1968,344.52213755060313
Argentina,ARG,1969,356.3979989293926
Argentina,ARG,1970,336.54109831353884
Argentina,ARG,1971,357.59899969629384
Argentina,ARG,1972,364.0100019653057
Argentina,ARG,1973,379.4433612945737
Argentina,ARG,1974,395.4679586146552
