Year,dollars/MT
2014.76595745,231.600
2014.79787234,230.700
2014.85106383,230.250
2014.86170213,232.950
2014.89361702,231.600
2014.93617021,238.800
2014.94680851,236.550
2014.9787234,242.850
2015,242.400
2015.05319149,248.250
2015.05319149,247.350
2015.06382979,244.650
2015.08510638,256.800
2015.08510638,253.200
2015.11702128,250.050
2015.13829787,251.850
2015.14893617,246.450
2015.17021277,249.600
2015.17021277,239.250
2015.20212766,236.550
2015.23404255,233.850
2015.25531915,237.450
2015.27659574,235.650
2015.34042553,243.750
2015.37234043,240.150
2015.39361702,247.350
2015.40425532,241.500
2015.44680851,246.450
2015.45744681,244.650
2015.4893617,248.700
2015.56382979,246.450
2015.56382979,242.850
2015.61702128,241.050
2015.64893617,242.400
2015.68085106,240.150
2015.74468085,245.100
2015.79787234,249.600
2015.85106383,250.050
2015.85106383,255.900
2015.88297872,264.450
2015.90425532,260.400
2015.93617021,268.950
2015.95744681,265.350
2015.96808511,261.750
2016,258.150
2016.05319149,264.000
2016.10638298,266.700
2016.13829787,261.750
2016.15957447,269.850
2016.17021277,273.900
2016.22340426,282.000
2016.22340426,277.500
2016.25531915,272.550
2016.25531915,276.150
2016.27659574,278.400
2016.29787234,274.800
2016.32978723,271.200
2016.32978723,274.800
2016.34042553,278.850
2016.38297872,266.700
2016.38297872,269.850
2016.39361702,260.850
2016.44680851,266.700
2016.4787234,279.750
2016.5,266.700
2016.5106383,274.800
2016.56382979,282.450
2016.58510638,276.150
2016.61702128,277.500
2016.64893617,272.550
2016.70212766,277.500
2016.78723404,279.750
2016.78723404,285.600
2016.84042553,284.250
2016.90425532,286.950
2016.90425532,290.550
2016.92553191,284.250
2016.93617021,291.900
2016.95744681,282.450
2016.9893617,280.650
2017.04255319,278.400
2017.04255319,275.250
2017.07446809,278.400
2017.10638298,273.450
2017.14893617,281.100
2017.18085106,284.250
2017.18085106,282.450
2017.21276596,287.850
2017.24468085,295.050
2017.27659574,289.650
2017.27659574,300.000
2017.32978723,284.700
2017.35106383,289.200
2017.38297872,298.650
2017.38297872,292.800
2017.40425532,278.850
2017.43617021,280.650
2017.44680851,273.900
2017.4893617,280.650
2017.5212766,283.350
2017.55319149,287.850
2017.57446809,278.850
2017.60638298,281.100
2017.63829787,268.950
2017.67021277,273.450
2017.74468085,277.050
2017.78723404,284.700
2017.82978723,280.650
2017.84042553,284.700
2017.86170213,282.450
2017.89361702,289.200
2017.89361702,286.950
2017.91489362,282.450
2017.92553191,294.150
2017.92553191,286.050
2017.95744681,286.050
2018.03191489,282.000
2018.11702128,286.950
2018.17021277,292.800
2018.20212766,296.400
2018.21276596,300.450
2018.21276596,293.250
2018.25531915,300.000
2018.25531915,292.800
2018.31914894,295.500
2018.35106383,300.000
2018.40425532,294.150
2018.43617021,295.500
2018.4893617,290.550
2018.5212766,282.000
2018.5212766,286.050
2018.54255319,274.800
2018.55319149,277.500
2018.55319149,271.650
2018.63829787,278.400
2018.69148936,278.400
2018.72340426,274.800
2018.76595745,277.050
2018.77659574,278.850
2018.85106383,276.150
2018.89361702,278.400
2018.93617021,278.400
2018.9787234,276.150
2019.0212766,282.450
2019.03191489,285.600
2019.10638298,286.950
2019.13829787,285.600
2019.14893617,291.900
2019.17021277,281.100
2019.20212766,280.650
2019.22340426,277.500
2019.27659574,276.150
2019.31914894,278.400
2019.34042553,283.350
2019.34042553,277.500
2019.36170213,284.700
2019.37234043,276.150
2019.39361702,284.700
2019.44680851,283.350
2019.45744681,275.250
2019.4893617,277.050
2019.54255319,273.900
2019.57446809,277.050
2019.61702128,277.500
2019.62765957,274.800
2019.68085106,274.800
2019.71276596,272.550
2019.71276596,268.950
2019.76595745,270.300
2019.78723404,274.800
2019.79787234,270.300
2019.81914894,274.800
2019.85106383,278.850
2019.88297872,282.000
2019.90425532,273.900
2019.91489362,287.850
2019.93617021,275.250
2019.93617021,282.000
2019.9893617,277.500
2020,276.150
2020.0212766,279.750
2020.04255319,281.100
2020.04255319,276.150
2020.07446809,273.900
2020.08510638,272.550
2020.10638298,268.950
2020.13829787,267.600
2020.21276596,270.300
2020.27659574,270.300
