time (sec),stress (MPa)
0, 38.8735362998
1.02214650767, 38.1569086651
3.066439523, 36.681498829
3.066439523, 37.1451990632
5.11073253833, 35.2903981265
5.11073253833, 35.8805620609
13.2879045997, 34.4894613583
19.4207836457, 34.0468384075
30.66439523, 33.5409836066
43.9522998296, 33.2037470726
54.1737649063, 33.0351288056
90.9710391823, 32.5714285714
127.768313458, 32.2974238876
177.853492334, 32.0234192037
212.606473595, 31.8969555035
256.558773424, 31.7494145199
324.02044293, 31.5807962529
374.105621806, 31.4543325527
436.456558773, 31.3489461358
499.829642249, 31.243559719
586.7120954, 31.1170960187
596.933560477, 31.1170960187
